tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners,Type 
Copa do Brasil,Gremio,0,0,ABC,0,0,,,,,1:30:00,4/28/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,CSA,0,0,Internacional,0,0,,,,,0:00:00,4/28/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Botafogo RJ,0,0,Ypiranga RS,0,0,,,,,23:30:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,EC Bahia,0,0,Volta Redonda,0,0,,,,,23:00:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,America MG,0,0,Nova Iguacu,0,0,,,,,1:30:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Flamengo,0,0,Maringa,0,0,,,,,1:30:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Corinthians,0,0,Clube Do Remo,0,0,,,,,1:30:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Tombense,0,0,Palmeiras,0,0,,,,,0:00:00,4/27/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Brasil de Pelotas,0,0,Atletico Mineiro,0,0,,,,,23:30:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Aguia de Maraba,0,0,Fortaleza FC,0,0,,,,,23:30:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Santos,0,0,Botafogo SP,0,0,,,,,23:00:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Sport Recife,0,0,Coritiba,0,0,,,,,23:00:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Athletico Paranaense,0,0,CRB,0,0,,,,,1:30:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Ituano,0,0,Sao Paulo,0,0,,,,,1:30:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Paysandu,0,0,Fluminense,0,0,,,,,0:00:00,4/26/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,Cruzeiro,0,0,Nautico Capibaribe,0,0,,,,,23:00:00,4/25/2023,0,0,DRAW,DRAW,0,National 
Copa do Brasil,ABC,0,2,Gremio,5,6,90,80,5,10,1:30:00,4/14/2023,-2,2,LOST,WON,11,National 
Copa do Brasil,Maringa,2,0,Flamengo,2,7,121,126,14,17,0:00:00,4/14/2023,2,-2,WON,LOST,9,National 
Copa do Brasil,Nautico Capibaribe,1,0,Cruzeiro,3,7,92,139,11,13,23:00:00,4/13/2023,1,-1,WON,LOST,10,National 
Copa do Brasil,Atletico Mineiro,2,1,Brasil de Pelotas,12,1,137,87,24,8,1:30:00,4/13/2023,1,-1,WON,LOST,13,National 
Copa do Brasil,Clube Do Remo,2,0,Corinthians,7,5,83,144,11,12,1:30:00,4/13/2023,2,-2,WON,LOST,12,National 
Copa do Brasil,Ypiranga RS,0,2,Botafogo RJ,5,7,128,104,10,12,1:30:00,4/13/2023,-2,2,LOST,WON,12,National 
Copa do Brasil,Palmeiras,4,2,Tombense,8,1,154,88,28,11,0:00:00,4/13/2023,2,-2,WON,LOST,9,National 
Copa do Brasil,Fluminense,3,0,Paysandu,13,0,118,53,23,4,23:30:00,4/12/2023,3,-3,WON,LOST,13,National 
Copa do Brasil,CRB,1,0,Athletico Paranaense,5,0,74,74,15,19,23:30:00,4/12/2023,1,-1,WON,LOST,5,National 
Copa do Brasil,Coritiba,3,3,Sport Recife,8,6,112,91,16,12,23:00:00,4/12/2023,0,0,DRAW,DRAW,14,National 
